指标名称,中国:社会消费品零售总额:当月同比,中国:CPI:当月同比,中国:PPI:全部工业品:当月同比,中国:工业增加值:规模以上工业企业:当月同比,中国:出口金额:当月同比,中国:进口金额:当月同比,固定资产投资完成额:累计同比,房地产开发投资完成额:累计同比,固定资产投资完成额:制造业:累计同比,固定资产投资完成额:基础设施建设:累计同比,中国:M2:同比,中国:社会融资规模:当月值,中国:开工率:电炉,银行间质押式回购加权利率:7天,加拿大:基准债券收益率:5年,菲律宾:国债收益率:6个月,越南:国债收益率:1年,义乌中国小商品指数:日用品类:价格指数,日元指数,中国:开工率:聚氯乙烯:上游,GC001:收盘价,中国:开工率:乙二醇(非乙烯法),义乌中国小商品指数:网上价格指数,中国香港:政府债券收益率:3月,义乌中国小商品指数:首饰类:出口价格指数,义乌中国小商品指数:总价格指数,中国:开工率:尿素,义乌中国小商品指数:辅料和包装类:价格指数,中国:开工率:螺纹钢:主要钢厂,花旗欧洲经济意外指数,收盘价:焦炭,地缘政治行为指数,义乌中国小商品指数:订单价格指数,新加坡:国库券收益率:6个月,义乌中国小商品指数:钟表眼镜类:出口价格指数,中国:开工率:纯碱,义乌中国小商品指数:日用品类:出口价格指数,1年期国债收益率,中国进口集装箱运价指数:综合指数,中国:水泥价格指数,中国出口集装箱运价指数:综合指数,义乌中国小商品指数:箱包类:价格指数,中国:iCPI:教育文化和娱乐:日环比,德国:上市联邦证券利率期限结构:1年期,义乌中国小商品指数:服装服饰类:出口价格指数,出厂价:液化气(汽运):荆门石化,EURIBOR:6个月,韩国:KOSPI指数,中国:华北:开工率:聚氯乙烯:下游,成品油运输指数(BCTI),义乌中国小商品指数:工艺品类:出口价格指数,义乌中国小商品指数:玩具类:出口价格指数,"中国:价格:螺纹钢(HRB400,20mm)",义乌中国小商品指数:服装服饰类:价格指数,中国:出厂价:石油焦(2#B):武汉石化,中国:经销价:汽油(93#IV):成都中石化,欧元兑美元,USDCNH:即期汇率,义乌中国小商品指数:护理及美容用品类:价格指数,中国:iCPI:其他用品和服务:日环比,印度:国债收益率:3月,印尼:日用商品现价:天然棕榈油:棉兰,欧元区:公债收益率:即期利率收益率曲线:所有债券:6个月,中国:互联网搜索指数:找工作,美元指数,银行间同业拆借加权利率:7天,义乌中国小商品指数:辅料和包装类:出口价格指数,中国:iCPI:居住:日环比,义乌中国小商品指数:护理及美容用品类:出口价格指数,中国:iCPI:衣着:日环比,义乌中国小商品指数:箱包类:出口价格指数,义乌中国小商品指数:玩具类:价格指数,波罗的海干散货指数(BDI),山东:库提价:港口内贸燃料油(4#船用),义乌中国小商品指数:五金及电料类:出口价格指数,"武汉:价格:热轧板卷(Q235B,3.0mm)",义乌中国小商品指数:鞋类:出口价格指数,义乌中国小商品指数:体育娱乐用品类:价格指数,期货结算价(活跃合约):IPE布油,中国:开工率:线材:主要钢厂,义乌中国小商品指数:鞋类:价格指数,山东:价格:方坯(Q235),义乌中国小商品指数:首饰类:价格指数,义乌中国小商品指数:五金及电料类:价格指数,中国:开工率:聚氯乙烯,韩国:国债收益率:3年,原油运输指数(BDTI),中国:iCPI:生活用品及服务:日环比,期货结算价(活跃合约):NYMEX轻质原油,地缘政治威胁指数,义乌中国小商品指数:电子电器类:价格指数,中国:iCPI:食品烟酒:日环比,花旗十国集团经济意外指数,中国:开工率:产能(<100万吨):焦化企业(230家),中国:华东:开工率:聚氯乙烯:下游,温州指数:温州地区民间融资综合利率,收盘价:美元兑韩元,中国:开工率:聚苯乙烯,英镑兑美元,远东干散货指数(FDI):运价指数,义乌中国小商品指数:工艺品类:价格指数,中国:iCPI:交通和通信:日环比,南华工业品指数,中国:开工率:石油沥青装置,地缘政治风险指数,义乌中国小商品指数:电子电器类:出口价格指数,远东干散货指数(FDI):综合指数,花旗美国经济意外指数,南华综合指数,期货收盘价(活跃合约):焦煤,中国:开工率:聚苯乙烯泡沫,中国:开工率:甲醇,LIBOR:美元:3个月,义乌中国小商品指数:体育娱乐用品类:出口价格指数,美元兑日元,印尼:日用商品现价:咖啡:棉兰,义乌中国小商品指数:文化办公用品类:价格指数,中国:中间价:美元兑人民币,中国:开工率:汽车轮胎(半钢胎),花旗新兴市场经济意外指数,中国:SHIBOR:隔夜,中国:iCPI:医疗保健:日环比,中国:互联网搜索指数:招聘,义乌中国小商品指数:针、纺织品类:出口价格指数,美国:5年期盈亏平衡通胀率:非季调,中国进口原油运价指数:综合指数,中国:华南:开工率:聚氯乙烯:下游,义乌中国小商品指数:文化办公用品类:出口价格指数,中国:开工率:汽车轮胎(全钢胎),运价:液化气(压力货):华南-海防港,泰国:债券市场协会指数:总收益:政府债券指数,上证综合指数,义乌中国小商品指数:出口价格指数,黎城:价格(干基含税):铁精粉(66%),中间价:欧元兑人民币,法国:国债收益率:1个月,南华能化指数,花旗中国经济意外指数,"中国:现货价(到岸价):焦煤(峰景矿,A:10.5%,V:21.5%,S:0.61%,G:87,Y:19,Mt:10%,CSR74,澳大利亚产)",唐山:市场价(不含税):废钢(6-8mm),温州指数:温州地区民间融资综合利率:社会直接融资利率,义乌中国小商品指数:钟表眼镜类:价格指数,中国:开工率:苯乙烯,南华金属指数,日本:企业债有效收益率:综合,"河南:车板价:焦煤(A≤10%,V:25-27%,S≤0.5%,G>75,Mt:8%,平顶山产)"
2001-02-01,8.60,0.00,0.90,19.00 ,28.40,35.80,16.70,23.00,,,15.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01,9.50,0.80,0.20,12.10 ,14.30,16.50,15.10,22.90,,,14.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,9.70,1.60,-0.10,11.50 ,11.10,19.10,16.50,22.80,,,13.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-01,11.10,1.70,-0.20,10.20 ,3.50,10.90,17.60,26.50,,,14.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-01,10.00,1.40,-0.60,10.10 ,-0.60,4.80,17.90,28.20,,,14.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,9.80,1.50,-1.30,8.10 ,6.20,7.50,18.40,31.60,,,13.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-01,9.60,1.00,-2.00,8.10 ,0.90,6.70,18.90,32.10,,,13.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-01,9.90,-0.10,-2.90,9.50 ,4.40,5.50,18.20,31.40,,,13.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,10.50,0.20,-3.10,8.80 ,0.10,-0.20,17.40,31.20,,,12.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-01,10.10,-0.30,-3.70,7.90 ,8.40,-3.70,16.30,29.70,,,13.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-01,9.60,-0.30,-4.00,8.70 ,11.50,4.60,13.70,25.30,,,14.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,7.90,-1.00,-4.20,18.60 ,29.20,21.90,19.10,27.75,,,13.10,-472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-01,9.10,0.00,-4.20,2.70 ,1.80,-12.70,24.50,30.20,,,13.00,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-01,8.30,-0.80,-4.00,10.90 ,3.40,8.50,26.10,36.20,,,14.40,3136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-01,8.20,-1.30,-3.06,12.10 ,17.20,17.80,27.10,38.80,,,14.10,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-01,9.30,-1.10,-2.63,12.90 ,18.40,19.30,25.80,36.70,,,14.00,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-01,8.60,-0.80,-2.50,12.40 ,17.80,8.60,24.40,32.90,,,14.70,2621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-01,8.60,-0.90,-2.30,12.80 ,28.10,28.90,24.10,30.70,,,14.40,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-01,8.80,-0.70,-1.70,12.70 ,25.00,23.00,24.20,30.00,,,15.50,1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-01,9.10,-0.70,-1.40,13.80 ,33.10,36.40,24.30,29.40,,,16.50,3507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-01,9.40,-0.80,-1.00,14.20 ,31.50,33.40,24.10,29.80,,,17.00,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-01,9.10,-0.70,-0.40,14.50 ,30.00,37.90,23.40,28.20,,,16.60,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-01,9.20,-0.40,0.40,14.90 ,30.20,28.40,17.40,21.90,,,16.78,3109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,10.00,0.40,2.40,14.80 ,37.30,63.40,25.10,29.45,,,19.30,3386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-01,8.50,0.20,4.00,19.80 ,27.80,49.40,32.80,37.00,,,18.10,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
